DATE,AB_BEFORE,AB_NOW,AB_IDENTICAL,AB_ADDED,AB_REMOVED,AB_CH_NOFL,AB_CH_NOFC_NONDUP,AB_CH_NONEST,AB_PERC_ADD_REM,AB_PERC_CH_NOFL,AB_PERC_CH_NOFC_NONDUP,AB_PERC_CH_NONEST
1998-09-12,194,224,179,45,15,15,15,4,30,28,28,7
1998-11-04,224,221,178,43,46,15,18,3,39,11,13,2
1998-11-11,221,234,212,22,9,6,5,0,14,13,11,0
1998-11-22,234,276,162,114,72,5,4,1,79,7,6,1
1998-12-19,276,287,272,15,4,6,5,0,6,12,10,0
1998-12-29,287,278,274,4,13,14,14,2,5,36,36,5
1999-01-19,278,288,270,18,8,6,5,4,9,12,10,8
1999-02-02,288,296,278,18,10,20,22,4,9,28,30,5
1999-02-12,296,328,288,40,8,5,3,2,16,19,11,7
1999-03-03,328,345,325,20,3,7,5,2,7,7,5,2
1999-03-09,345,345,342,3,3,5,2,4,1,13,5,11
1999-03-26,345,349,337,12,8,4,5,1,5,12,15,3
1999-04-05,349,355,349,6,0,12,10,6,1,24,20,12
1999-04-20,355,347,338,9,17,3,1,0,7,6,2,0
1999-05-19,347,347,313,34,34,13,7,0,19,17,9,0
1999-05-27,347,346,341,5,6,12,13,5,3,30,32,12
1999-06-01,346,344,341,3,5,2,2,0,2,2,2,0
1999-06-11,344,349,343,6,1,3,1,0,2,8,2,0
1999-06-19,349,349,311,38,38,2,1,0,21,4,2,0
1999-07-04,349,354,337,17,12,6,6,1,8,12,12,2
1999-07-16,354,348,329,19,25,12,12,3,12,22,22,5
1999-07-24,348,351,341,10,7,8,4,1,4,21,10,2
1999-08-02,351,353,345,8,6,0,0,0,3,0,0,0
1999-08-07,353,365,351,14,2,3,3,0,4,3,3,0
1999-08-19,365,353,349,4,16,3,3,1,5,6,6,2
1999-08-29,353,355,334,21,19,2,2,0,11,7,7,0
1999-09-03,355,354,349,5,6,2,0,0,3,7,0,0
1999-09-24,354,375,350,25,4,6,2,4,8,15,5,10
1999-10-28,375,381,370,11,5,1,2,0,4,4,8,0
1999-11-19,381,382,378,4,3,2,10,0,1,6,31,0
1999-12-10,382,381,371,10,11,3,2,0,5,7,5,0
2000-01-16,381,391,368,23,13,12,11,2,9,17,16,2
2000-02-01,391,414,391,23,0,4,4,1,5,16,16,4
2000-03-16,414,447,393,54,21,16,9,1,18,30,16,1
2000-04-25,447,445,444,1,3,10,8,1,0,25,20,2
2000-05-11,445,455,443,12,2,8,7,1,3,17,15,2
2000-05-16,455,463,451,12,4,9,0,1,3,22,0,2
2000-05-25,463,463,436,27,27,2,0,0,11,5,0,0
2000-05-29,463,465,453,12,10,18,7,6,4,45,17,15
2000-06-07,465,353,323,30,142,24,21,6,36,22,20,5
2000-06-14,353,359,339,20,14,3,1,3,9,6,2,6
2000-06-19,359,360,357,3,2,1,1,1,1,4,4,4
2000-06-30,360,347,345,2,15,4,4,0,4,10,10,0
2000-07-17,347,352,331,21,16,17,13,5,10,34,26,10
