DATE,FUNC_BEFORE,FUNC_NOW,FUNC_IDENTICAL,FUNC_ADDED,FUNC_REMOVED,FUNC_PERC_ADD_REM,FUNC_MEDIAN_PERC_LOC_CHG
1998-09-12,1062,1100,1008,92,54,13,5.13
1998-11-04,1100,1001,921,80,179,23,0.00
1998-11-11,1001,1029,990,39,11,4,0.00
1998-11-22,1029,1158,795,363,234,58,0.00
1998-12-19,1158,1210,1143,67,15,7,0.00
1998-12-29,1210,1237,1192,45,18,5,2.24
1999-01-19,1237,1367,1221,146,16,13,0.00
1999-02-02,1367,1342,1236,106,131,17,0.00
1999-02-12,1342,1522,1284,238,58,22,0.21
1999-03-03,1522,1595,1477,118,45,10,0.00
1999-03-09,1595,1601,1575,26,20,2,0.21
1999-03-26,1601,1639,1590,49,11,3,1.77
1999-04-05,1639,1644,1631,13,8,1,0.00
1999-04-20,1644,1659,1640,19,4,1,2.33
1999-05-19,1659,1678,1541,137,118,15,0.80
1999-05-27,1678,1723,1673,50,5,3,4.00
1999-06-01,1723,1754,1701,53,22,4,1.25
1999-06-11,1754,1755,1742,13,12,1,0.00
1999-06-19,1755,1793,1608,185,147,18,0.00
1999-07-04,1793,1814,1762,52,31,4,6.25
1999-07-16,1814,1864,1779,85,35,6,4.41
1999-07-24,1864,1875,1821,54,43,5,2.09
1999-08-02,1875,1881,1852,29,23,2,0.51
1999-08-07,1881,1895,1859,36,22,3,0.00
1999-08-19,1895,1904,1850,54,45,5,2.13
1999-08-29,1904,1936,1829,107,75,9,0.84
1999-09-03,1936,1940,1910,30,26,2,0.31
1999-09-24,1940,2145,1901,244,39,14,0.56
1999-10-28,2145,2149,2117,32,28,2,2.90
1999-11-19,2149,2161,2139,22,10,1,0.00
1999-12-10,2161,2195,2127,68,34,4,3.41
2000-01-16,2195,2239,2163,76,32,4,4.11
2000-02-01,2239,2365,2214,151,25,7,3.57
2000-03-16,2365,2400,2269,131,96,9,3.45
2000-04-25,2400,2445,2397,48,3,2,0.00
2000-05-11,2445,2479,2430,49,15,2,1.04
2000-05-16,2479,2480,2460,20,19,1,2.02
2000-05-25,2480,2488,2393,95,87,7,0.00
2000-05-29,2488,2495,2461,34,27,2,1.62
2000-06-07,2495,2228,1994,234,501,29,8.70
2000-06-14,2228,2294,2077,217,151,16,0.00
2000-06-19,2294,2308,2283,25,11,1,2.94
2000-06-30,2308,2276,2227,49,81,5,0.00
2000-07-17,2276,2293,2237,56,39,4,5.88
2000-08-15,2293,2295,2260,35,33,2,0.00
2000-08-29,2295,2282,2243,39,52,3,5.81
2000-09-12,2282,2306,2280,26,2,1,3.03
2000-09-15,2306,2309,2302,7,4,0,0.31
2000-09-22,2309,2343,2303,40,6,1,0.61
2000-09-29,2343,2374,2337,37,6,1,0.00
2000-10-12,2374,2381,2362,19,12,1,0.83
2000-10-20,2381,2387,2377,10,4,0,3.39
2000-12-08,2387,2410,2374,36,13,2,3.55
2001-01-22,2410,2425,2386,39,24,2,28.21
2001-05-02,2425,2448,2420,28,5,1,3.69
2001-05-29,2448,2548,2438,110,10,4,3.38
2001-06-25,2548,2545,2513,32,35,2,1.96
2001-07-22,2545,2259,2200,59,345,15,0.00
2001-09-02,2259,2266,2241,25,18,1,2.44
2001-09-25,2266,2274,2260,14,6,0,0.29
2001-10-05,2274,2298,2272,26,2,1,4.63
