DATE,FUNC_BEFORE,FUNC_NOW,FUNC_IDENTICAL,FUNC_ADDED,FUNC_REMOVED,FUNC_PERC_ADD_REM,FUNC_MEDIAN_PERC_LOC_CHG
2001-10-26,2298,2326,2263,63,35,4,1.00
2001-11-16,2326,2341,2297,44,29,3,2.08
2001-12-04,2341,2348,2320,28,21,2,0.51
2001-12-07,2348,2371,2343,28,5,1,1.85
2001-12-15,2371,2414,2362,52,9,2,2.31
2001-12-22,2414,2385,2345,40,69,4,0.72
2001-12-25,2385,2391,2307,84,78,6,0.36
2001-12-27,2391,2400,2290,110,101,8,0.48
2001-12-29,2400,2403,2348,55,52,4,1.47
2002-01-02,2403,2395,2273,122,130,10,0.00
2002-01-04,2395,2396,2369,27,26,2,0.00
2002-01-08,2396,2400,2386,14,10,1,0.76
2002-01-12,2400,2418,2385,33,15,2,1.63
2002-01-16,2418,2418,2335,83,83,6,0.00
2002-01-25,2418,2413,2407,6,11,0,1.79
2002-01-31,2413,2442,2393,49,20,2,2.13
2002-02-13,2442,2452,2434,18,8,1,0.00
2002-03-04,2452,2457,2446,11,6,0,2.84
2002-03-26,2457,2451,2438,13,19,1,1.72
2002-04-04,2451,2451,2448,3,3,0,15.38
2002-04-15,2451,2457,2433,24,18,1,0.52
2002-05-01,2457,2469,2442,27,15,1,1.80
2002-05-15,2469,2492,2459,33,10,1,0.00
2002-06-12,2492,2506,2472,34,20,2,3.85
2002-07-13,2506,2511,2493,18,13,1,0.00
2002-08-02,2511,2520,2504,16,7,0,0.00
2002-08-13,2520,2382,2373,9,147,6,0.54
2002-08-27,2382,2395,2304,91,78,7,1.61
2002-08-30,2395,2402,2372,30,23,2,6.90
2002-09-04,2402,2414,2397,17,5,0,1.50
2002-09-21,2414,2414,2401,13,13,1,4.49
2002-10-23,2414,2442,2402,40,12,2,2.04
2002-11-21,2442,2443,2433,10,9,0,3.31
2002-12-04,2443,2443,2431,12,12,0,2.11
2002-12-18,2443,2556,2382,174,61,9,3.41
2003-01-19,2556,2563,2549,14,7,0,1.22
2003-01-22,2563,2638,2551,87,12,3,0.00
2003-01-27,2638,2687,2633,54,5,2,0.77
2003-02-07,2687,2708,2679,29,8,1,0.00
2003-02-16,2708,2673,2647,26,61,3,2.31
2003-02-26,2673,2678,2668,10,5,0,1.33
2003-03-01,2678,2690,2659,31,19,1,3.92
2003-03-10,2690,2733,2675,58,15,2,0.00
2003-03-17,2733,2736,2712,24,21,1,2.42
2003-03-27,2736,2732,2715,17,21,1,2.19
2003-04-02,2732,2735,2514,221,218,16,2.62
2003-04-05,2735,2732,2694,38,41,2,6.02
2003-04-08,2732,2716,2693,23,39,2,1.18
2003-04-13,2716,2752,2582,170,134,11,0.00
2003-04-21,2752,2763,2725,38,27,2,0.91
2003-04-24,2763,2756,2719,37,44,2,0.97
2003-04-30,2756,2757,2727,30,29,2,0.51
2003-05-14,2757,2770,2728,42,29,2,0.00
2003-05-23,2770,2772,2765,7,5,0,1.10
2003-06-03,2772,2774,2749,25,23,1,0.22
2003-06-14,2774,2799,2752,47,22,2,1.04
2003-08-09,2799,2811,2785,26,14,1,2.94
2003-09-10,2811,2817,2795,22,16,1,3.61
2003-09-23,2817,2826,2806,20,11,1,2.38
2003-10-08,2826,2837,2814,23,12,1,0.86
2003-10-19,2837,2838,2826,12,11,0,0.12
2003-11-13,2838,2856,2823,33,15,1,2.46
2003-11-26,2856,2845,2816,29,40,2,1.85
2003-12-01,2845,2873,2844,29,1,1,2.63
2003-12-07,2873,2879,2783,96,90,6,2.86
2003-12-17,2879,2882,2823,59,56,3,0.00
2003-12-29,2882,2876,2830,46,52,3,0.41
2004-01-17,2876,2889,2873,16,3,0,1.72
2004-02-27,2889,2848,2821,27,68,3,3.11
2004-03-09,2848,2856,2831,25,17,1,1.43
2004-03-16,2856,2889,2850,39,6,1,0.00
2004-03-20,2889,2933,2883,50,6,1,2.04
2004-04-06,2933,2944,2927,17,6,0,0.17
2004-04-09,2944,2947,2942,5,2,0,0.00
2004-04-20,2947,2996,2931,65,16,2,0.00
2004-05-13,2996,3004,2992,12,4,0,1.75
2004-05-27,3004,3018,3001,17,3,0,4.12
2004-06-18,3018,3019,3014,5,4,0,1.38
2004-06-28,3019,3022,3019,3,0,0,2.56
2004-07-05,3022,3029,3021,8,1,0,3.66
2004-07-18,3029,3037,3022,15,7,0,3.28
2004-08-16,3037,3053,3028,25,9,1,2.27
2004-08-28,3053,3097,3046,51,7,1,3.33
2004-09-11,3097,3101,3093,8,4,0,17.86
2004-09-28,3101,3107,3097,10,4,0,1.49
2004-10-19,3107,3122,3079,43,28,2,0.00
2004-11-12,3122,3290,3077,213,45,8,1.85
2004-11-19,3290,3285,3251,34,39,2,3.62
2004-11-27,3285,3306,3261,45,24,2,2.53
2004-12-02,3306,3355,3226,129,80,6,5.56
2004-12-08,3355,3345,3331,14,24,1,2.04
2004-12-20,3345,3410,3322,88,23,3,2.77
2005-01-08,3410,3415,3392,23,18,1,4.35
2005-01-14,3415,3415,3391,24,24,1,2.85
2005-01-20,3415,3410,3404,6,11,0,2.60
2005-01-26,3410,3424,3404,20,6,0,1.67
2005-02-05,3424,3438,3419,19,5,0,2.88
2005-02-26,3438,3464,3404,60,34,2,1.45
2005-03-16,3464,3531,3418,113,46,4,4.35
2005-03-28,3531,3566,3512,54,19,2,2.33
2005-04-07,3566,3585,3564,21,2,0,2.51
2005-04-12,3585,3609,3584,25,1,0,2.67
2005-04-21,3609,3630,3582,48,27,2,5.63
2005-04-25,3630,3635,3593,42,37,2,2.82
2005-05-05,3635,3644,3618,26,17,1,2.56
2005-05-12,3644,3656,3629,27,15,1,2.02
2005-05-28,3656,3669,3651,18,5,0,0.69
2005-06-17,3669,3701,3660,41,9,1,2.14
2005-07-05,3701,3723,3696,27,5,0,2.59
2005-07-16,3723,3718,3716,2,7,0,1.65
2005-07-19,3718,3735,3701,34,17,1,0.00
2005-07-22,3735,3755,3713,42,22,1,4.02
2005-07-25,3755,3754,3706,48,49,2,22.22
2005-07-30,3754,3765,3748,17,6,0,0.00
2005-08-03,3765,3767,3756,11,9,0,0.61
2005-08-09,3767,3835,3750,85,17,2,1.41
2005-08-17,3835,3847,3827,20,8,0,2.70
2005-08-22,3847,3869,3822,47,25,1,0.87
2005-08-28,3869,3883,3860,23,9,0,1.67
2005-09-06,3883,3894,3847,47,36,2,1.99
2005-09-16,3894,3898,3889,9,5,0,2.51
2005-10-01,3898,3971,3887,84,11,2,6.19
2005-10-13,3971,3983,3956,27,15,1,4.35
2005-10-16,3983,3988,3960,28,23,1,2.34
2005-10-31,3988,4005,3973,32,15,1,1.72
2005-11-04,4005,4012,3999,13,6,0,1.35
2005-11-10,4012,4015,4001,14,11,0,1.29
2005-11-18,4015,4026,4004,22,11,0,0.00
2005-11-24,4026,4038,4008,30,18,1,1.52
2005-11-28,4038,4071,4001,70,37,2,3.23
2005-12-15,4071,4074,4064,10,7,0,0.77
2005-12-24,4074,4071,4064,7,10,0,2.09
2006-01-06,4071,4079,4062,17,9,0,2.63
2006-01-09,4079,4108,4055,53,24,1,0.82
2006-01-14,4108,4123,4090,33,18,1,1.95
2006-02-07,4123,4127,4118,9,5,0,3.19
2006-03-06,4127,4135,4116,19,11,0,6.25
2006-03-31,4135,4142,4122,20,13,0,3.70
2006-04-04,4142,4147,4137,10,5,0,1.49
2006-04-08,4147,4013,3998,15,149,3,3.12
2006-04-27,4013,4017,4007,10,6,0,3.07
2006-05-09,4017,4038,4005,33,12,1,1.04
2006-05-15,4038,4041,4029,12,9,0,2.15
2006-05-30,4041,4054,4032,22,9,0,2.70
2006-06-12,4054,4057,4044,13,10,0,1.56
2006-07-18,4057,4066,4049,17,8,0,4.88
2006-08-24,4066,4069,4062,7,4,0,0.65
2006-09-06,4069,4096,4064,32,5,0,1.75
2006-09-14,4096,4119,4070,49,26,1,5.81
2006-10-03,4119,4136,4094,42,25,1,1.64
2006-11-03,4136,4139,4127,12,9,0,0.35
2006-11-30,4139,4141,4116,25,23,1,1.75
2006-12-18,4141,4147,4134,13,7,0,2.60
2007-01-01,4147,4161,4102,59,45,2,1.63
2007-01-10,4161,4172,4137,35,24,1,3.05
2007-01-23,4172,4181,4163,18,9,0,1.00
2007-02-04,4181,4186,4179,7,2,0,3.05
2007-02-11,4186,4197,4180,17,6,0,2.38
2007-03-15,4197,4205,4192,13,5,0,1.22
2007-04-06,4205,4181,4076,105,129,5,0.57
2007-05-13,4181,4153,4130,23,51,1,0.30
2007-06-09,4153,4157,4144,13,9,0,1.49
2007-07-18,4157,4154,4148,6,9,0,0.00
2007-08-10,4154,4172,4047,125,107,5,0.00
2007-08-17,4172,4182,4159,23,13,0,1.37
2007-08-23,4182,4198,4135,63,47,2,1.16
2007-08-29,4198,4240,4193,47,5,1,1.02
2007-09-11,4240,4259,4239,20,1,0,2.62
2007-09-27,4259,4264,4254,10,5,0,1.89
2007-10-10,4264,4278,4259,19,5,0,3.57
2007-11-13,4278,4313,4273,40,5,1,3.28
2007-12-05,4313,4317,4301,16,12,0,0.68
2007-12-22,4317,4345,4310,35,7,0,0.42
2008-01-11,4345,4350,4338,12,7,0,1.10
2008-02-13,4350,4352,4345,7,5,0,0.83
2008-03-21,4352,4357,4348,9,4,0,2.17
2008-04-29,4357,4359,4349,10,8,0,2.33
2008-06-05,4359,4620,4355,265,4,6,2.11
2008-07-19,4620,4624,4620,4,0,0,1.34
2008-09-06,4624,4760,4584,176,40,4,1.75
2008-10-05,4760,4780,4752,28,8,0,3.12
2008-10-18,4780,4816,4771,45,9,1,0.00
2008-11-02,4816,4838,4812,26,4,0,2.38
2008-11-15,4838,4842,4805,37,33,1,1.78
2008-12-20,4842,4852,4837,15,5,0,1.82
2009-01-27,4852,4886,4851,35,1,0,0.72
2009-02-10,4886,4895,4873,22,13,0,0.75
2009-02-25,4895,4897,4892,5,3,0,2.65
2009-03-09,4897,4898,4895,3,2,0,1.53
2009-03-26,4898,4899,4896,3,2,0,3.00
2009-04-29,4899,4916,4897,19,2,0,1.14
2009-06-03,4916,4909,4895,14,21,0,3.82
2009-07-03,4909,4940,4906,34,3,0,5.69
2009-07-29,4940,4963,4931,32,9,0,3.65
2009-08-17,4963,4967,4959,8,4,0,3.82
2009-08-20,4967,5005,4956,49,11,1,1.45
2009-10-20,5005,5016,4999,17,6,0,1.71
2009-11-15,5016,5015,5009,6,7,0,1.54
2009-11-23,5015,5019,5012,7,3,0,0.22
2010-01-05,5019,5033,5014,19,5,0,3.03
2010-04-12,5033,5060,5023,37,10,0,3.94
2010-06-07,5060,4821,4764,57,296,6,0.83
2010-08-10,4821,4824,4814,10,7,0,3.39
2010-10-13,4824,4824,4798,26,26,1,1.85
2010-11-24,4824,4846,4819,27,5,0,1.20
2010-12-23,4846,4862,4842,20,4,0,3.45
2011-01-02,4862,4881,4851,30,11,0,1.27
2011-01-08,4881,4900,4874,26,7,0,2.66
2011-01-29,4900,4908,4894,14,6,0,1.33
2011-02-05,4908,4925,4900,25,8,0,1.08
2011-03-16,4925,4937,4920,17,5,0,1.06
2011-06-09,4937,4949,4919,30,18,0,1.43
2011-08-10,4949,4959,4948,11,1,0,3.61
2011-09-10,4959,5197,4958,239,1,4,6.81
2011-11-01,5197,5225,5142,83,55,2,0.48
2012-01-24,5225,5232,5223,9,2,0,0.00
2012-03-29,5232,5240,5231,9,1,0,2.24
2012-06-07,5240,5255,5223,32,17,0,0.34
2012-08-22,5255,5268,5236,32,19,0,2.28
2013-01-08,5268,5288,5141,147,127,5,0.72
2013-04-28,5288,5294,5270,24,18,0,0.76
2013-09-07,5294,5340,5283,57,11,1,5.00
2013-11-08,5340,5358,5329,29,11,0,1.11
2014-07-23,5358,5394,5322,72,36,2,1.25
2014-10-29,5394,5399,5386,13,8,0,2.56
2015-01-14,5399,5400,5397,3,2,0,1.54
2015-04-09,5400,5402,5391,11,9,0,1.64
2015-08-09,5402,5436,5394,42,8,0,0.89
2015-10-24,5436,5537,5430,107,6,2,4.22
