DATE,AB_BEFORE,AB_NOW,AB_IDENTICAL,AB_ADDED,AB_REMOVED,AB_CH_NOFL,AB_CH_NOFC_NONDUP,AB_CH_NONEST,AB_PERC_ADD_REM,AB_PERC_CH_NOFL,AB_PERC_CH_NOFC_NONDUP,AB_PERC_CH_NONEST
1999-02-02,194,296,87,209,107,16,13,5,162,14,11,4
1999-05-27,296,346,244,102,52,23,17,8,52,17,12,6
1999-08-07,346,365,269,96,77,13,14,0,50,8,9,0
2000-01-16,365,391,305,86,60,20,27,6,40,13,18,4
2000-06-07,391,353,288,65,103,30,22,7,42,25,18,5
2000-09-15,353,335,282,53,71,26,22,10,35,18,15,7
2001-05-29,335,553,322,231,13,46,43,21,72,18,17,8
2001-12-04,553,538,461,77,92,50,36,20,30,23,17,9
2002-01-04,538,551,452,99,86,26,11,3,34,16,7,1
2002-03-26,551,583,508,75,43,43,28,13,21,24,16,7
2002-08-13,583,670,504,166,79,80,64,29,42,16,13,6
2002-12-18,670,791,623,168,47,63,45,26,32,23,17,9
2003-03-10,791,962,756,206,35,89,80,20,30,30,27,6
2003-04-24,962,925,713,212,249,41,29,14,47,22,15,7
2003-09-23,925,937,863,74,62,61,46,7,14,26,19,3
2003-12-29,937,965,855,110,82,46,30,14,20,24,15,7
2004-04-20,965,1003,943,60,22,44,29,5,8,16,10,1
2004-08-28,1003,1054,984,70,19,56,32,14,8,21,12,5
2004-12-08,1054,723,674,49,380,167,153,56,40,29,26,9
2005-03-16,723,736,672,64,51,38,32,11,15,24,20,7
2005-05-28,736,769,721,48,15,22,17,9,8,15,11,6
2005-08-03,769,579,553,26,216,27,19,4,31,7,5,1
2005-10-13,579,602,562,40,17,24,13,7,9,18,9,5
2005-12-15,602,598,549,49,53,36,31,10,16,18,16,5
2006-04-04,598,603,576,27,22,30,25,5,8,22,18,3
2006-08-24,603,544,511,33,92,26,17,6,20,16,10,3
2007-01-10,544,569,505,64,39,19,13,4,18,11,7,2
2007-07-18,569,521,490,31,79,30,26,5,19,14,12,2
2007-11-13,521,528,480,48,41,15,10,2,17,12,8,1
2008-07-19,528,534,518,16,10,13,11,5,4,12,10,4
2009-02-10,534,588,505,83,29,22,18,4,20,17,13,3
2009-08-17,588,606,585,21,3,6,3,2,4,5,2,1
2010-08-10,606,592,551,41,55,20,15,6,15,13,10,4
2011-03-16,592,574,548,26,44,24,20,6,11,15,12,3
2012-08-22,574,622,566,56,8,7,6,1,11,6,5,0
